,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,Burnout,~,Salary,-0.020587622015340323,0.03541011245508434,-0.5814051576614764,0.5609674221767682
1,Burnout,~,Effort,0.007825232320363078,0.0041370295449873,1.891509894569919,0.05855631142351747
2,Burnout,~,Policy_influence,0.09301469171340812,0.0895169257559669,1.039073794445728,0.2987704174676735
3,Burnout,~,Teaching_percent,-0.0022117003073222263,0.005361676504170529,-0.4125016317544287,0.6799717849335036
4,Burnout,~,Research_percent,0.0018627775771637306,0.005881020180380133,0.3167439525307974,0.7514378953014873
5,Burnout,~,Academic_Resources,-0.03118276342409528,0.12825739854906232,-0.24312642994956588,0.8079074572423361
6,Burnout,~,Perceived_Autonomy,-0.14291703664395627,0.11643254150868113,-1.2274664349920852,0.21964732986000435
7,Burnout,~,Current_position_4.0,0.6196981716566541,0.9927715460798126,0.6242102466605244,0.5324895184295138
8,Burnout,~,Current_position_5.0,0.9021213149399883,1.1010698181752223,0.8193134531961231,0.41260759893109533
9,Burnout,~,Current_position_6.0,1.3080778717319865,1.4849598380814475,0.8808843432568038,0.37838042252630943
10,Burnout,~,Salary_mod_Current_position_4.0,0.010225630870710817,0.03753728129601825,0.2724126659519981,0.7853047348189823
11,Burnout,~,Salary_mod_Current_position_5.0,0.044190167919552846,0.040124994137777585,1.1013127569991743,0.2707605608923265
12,Burnout,~,Salary_mod_Current_position_6.0,0.031693305688701934,0.04992816864256807,0.6347780531458525,0.5255731789598861
13,Burnout,~,Effort_mod_Current_position_4.0,-0.0014127007566404727,0.00440725530614638,-0.3205398049778903,0.7485591607841708
14,Burnout,~,Effort_mod_Current_position_5.0,-0.00014911287762709347,0.00494745633597946,-0.03013930138454348,0.9759559569848852
15,Burnout,~,Effort_mod_Current_position_6.0,0.0015077322846876505,0.006653571312264282,0.22660496351514237,0.8207309323641905
16,Burnout,~,Policy_influence_mod_Current_position_4.0,-0.018966906960490963,0.09487169113901857,-0.19992167033786945,0.8415418420857805
17,Burnout,~,Policy_influence_mod_Current_position_5.0,-0.0699026733447474,0.10327732685006781,-0.676844332401741,0.49850472692230285
18,Burnout,~,Policy_influence_mod_Current_position_6.0,-0.12211558387972339,0.13623459288875922,-0.8963625265026416,0.3700591745315567
19,Burnout,~,Teaching_percent_mod_Current_position_4.0,0.00390655879140872,0.005895630445669636,0.662619346098174,0.5075743766696919
20,Burnout,~,Teaching_percent_mod_Current_position_5.0,0.000431981714911095,0.007077064183357382,0.061039677422442394,0.9513276099375685
21,Burnout,~,Teaching_percent_mod_Current_position_6.0,-0.01093826136336563,0.010618916338952396,-1.030073221521836,0.30297563467485267
22,Burnout,~,Research_percent_mod_Current_position_4.0,-0.0025860404492998165,0.006553185435912554,-0.3946234200444349,0.6931208267569309
23,Burnout,~,Research_percent_mod_Current_position_5.0,-0.005474273212960068,0.007538531921313222,-0.726172319673652,0.46773313875839184
24,Burnout,~,Research_percent_mod_Current_position_6.0,-0.025130830727683,0.011788002177990996,-2.1318990568624154,0.03301514577863207
25,Burnout,~,Academic_Resources_mod_Current_position_4.0,-0.04291438893740817,0.13838664148190818,-0.3101049962449477,0.7564811129765616
26,Burnout,~,Academic_Resources_mod_Current_position_5.0,-0.06111994355346848,0.1620320508444131,-0.3772089733763849,0.7060183122314054
27,Burnout,~,Academic_Resources_mod_Current_position_6.0,0.034723626618879,0.2437422779575502,0.14246041724769615,0.8867163428877067
28,Burnout,~,Perceived_Autonomy_mod_Current_position_4.0,-0.1766274304636163,0.12512415704302157,-1.411617345813364,0.1580626622014698
29,Burnout,~,Perceived_Autonomy_mod_Current_position_5.0,-0.3513420854461332,0.142130972804291,-2.471960041583942,0.013437453494118179
30,Burnout,~,Perceived_Autonomy_mod_Current_position_6.0,-0.1998059918456878,0.19695812606639163,-1.0144592448920933,0.31036366694219764
31,Job_satisfaction,~,Burnout,-0.14243610306103374,0.02748501540586642,-5.1823184725393965,2.191446117905116e-07
32,Job_satisfaction,~,Salary,0.052412375880066156,0.022556871782032622,2.323565802217796,0.020148777084379343
33,Job_satisfaction,~,Effort,0.0054734494787450315,0.002230495267862251,2.453916650330746,0.014130973079255371
34,Job_satisfaction,~,Policy_influence,-0.0512069297673769,0.06344747787642549,-0.8070758914373843,0.4196227608898475
35,Job_satisfaction,~,Teaching_percent,-0.0007214058858447003,0.0029954401552516933,-0.2408346847921751,0.8096832461000052
36,Job_satisfaction,~,Research_percent,-0.003316637397734456,0.0038404632283505257,-0.8636034768897772,0.3878057535148327
37,Job_satisfaction,~,Academic_Resources,0.3300755658094103,0.08464240345002913,3.899647840226789,9.633270109032921e-05
38,Job_satisfaction,~,Perceived_Autonomy,0.33610149289277097,0.08274102240234657,4.062090159514114,4.863528499310377e-05
39,Job_satisfaction,~,Salary_mod_Current_position_4.0,0.0031861674273373623,0.023709536429150576,0.1343833708737395,0.8930994304786337
40,Job_satisfaction,~,Salary_mod_Current_position_5.0,-0.03813320562660999,0.025760254232167473,-1.4803116957406341,0.13879008341970756
41,Job_satisfaction,~,Salary_mod_Current_position_6.0,-0.007969302093462173,0.03248450723842301,-0.24532624228298816,0.8062038340718687
42,Job_satisfaction,~,Effort_mod_Current_position_4.0,-0.005351289953020866,0.002300139229658842,-2.32650697040112,0.01999152105158264
43,Job_satisfaction,~,Effort_mod_Current_position_5.0,-0.006550138553564803,0.0026430568046044954,-2.4782435775407845,0.013203097629752136
44,Job_satisfaction,~,Effort_mod_Current_position_6.0,-0.005322653509281609,0.0037203996264238907,-1.4306671439399008,0.1525256340119019
45,Job_satisfaction,~,Policy_influence_mod_Current_position_4.0,0.11459665680467741,0.06701858016412246,1.709923673738396,0.08727998808916948
46,Job_satisfaction,~,Policy_influence_mod_Current_position_5.0,0.13669507262649194,0.07287704317007156,1.8756945490449433,0.06069723484381395
47,Job_satisfaction,~,Policy_influence_mod_Current_position_6.0,0.19240716267788233,0.09222894057806978,2.086190749561171,0.03696134784261362
