,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,Burnout,~,Salary,0.10065953695752324,0.11455574348142102,0.8786948074146085,0.37956677485665047
1,Burnout,~,Effort,-0.01264863850769308,0.03895385930982571,-0.32470822484533346,0.7454019091707853
2,Burnout,~,Policy_influence,-1.2870129715622234,0.7291344355650154,-1.7651243841790791,0.07754286336772664
3,Burnout,~,Teaching_percent,-0.007126502272502524,0.07459138279421486,-0.09554055717223811,0.9238854776115291
4,Burnout,~,Research_percent,-0.15149443630617793,0.06603771946592137,-2.294059176014736,0.021787099884158723
5,Burnout,~,Academic_Resources,0.07971800526705806,1.2388486154972267,0.06434846378304095,0.948692764867153
6,Burnout,~,Perceived_Autonomy,1.7540964375756019,1.29819755141016,1.3511783593097004,0.1766383050702054
7,Burnout,~,Salary_mod_Age,-0.0020529722729170263,0.0023605391478761935,-0.8697048188734368,0.3844617381179125
8,Burnout,~,Effort_mod_Age,0.00033371771433528193,0.0008495567063168857,0.3928139363283313,0.6944569106911671
9,Burnout,~,Policy_influence_mod_Age,0.026155597166830285,0.015043651194598554,1.738646876795631,0.08209689560963329
10,Burnout,~,Teaching_percent_mod_Age,0.0008484674447039584,0.001700850235930016,0.4988490028583686,0.6178857628943293
11,Burnout,~,Research_percent_mod_Age,0.0028782069864262566,0.0013796689608093064,2.0861576697730144,0.03696434321840658
12,Burnout,~,Academic_Resources_mod_Age,-0.0021230570360309706,0.024478098896941927,-0.08673292173884767,0.9308838072497303
13,Burnout,~,Perceived_Autonomy_mod_Age,-0.03862355438274208,0.026005565317856083,-1.4852034135453676,0.13748994804874282
14,Job_satisfaction,~,Burnout,0.5022269895714881,0.22468109268785355,2.2352881747241193,0.025398435904007144
15,Job_satisfaction,~,Salary,0.012029629690458562,0.011591577421404842,1.0377905656918642,0.2993675700133962
16,Job_satisfaction,~,Effort,-0.013975368332921304,0.00484593636014375,-2.8839355887915126,0.003927390743424297
17,Job_satisfaction,~,Policy_influence,0.17184078208019868,0.09768962917991228,1.7590483608241076,0.07856929476313868
18,Job_satisfaction,~,Teaching_percent,-0.008347140203707186,0.00949835112636083,-0.8787988664329874,0.3795103410228826
19,Job_satisfaction,~,Research_percent,0.01695079909321228,0.008575094033876945,1.976747896206077,0.048070133904867696
20,Job_satisfaction,~,Academic_Resources,0.6357602715314328,0.18703292103684185,3.399189126724921,0.0006758596355438407
21,Job_satisfaction,~,Perceived_Autonomy,0.1788387990621721,0.1367432294739116,1.3078439038547338,0.1909262594336285
22,Burnout,~~,Burnout,0.07893793291357291,0.020730116776402636,3.8078865527482755,0.0001401595427337199
23,Job_satisfaction,~~,Job_satisfaction,0.16535256383716357,0.04342371064333504,3.80788655284426,0.00014015954267931896
