,Gender,Age,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Burnout,Job_satisfaction,Age_centered,Gender_mod_Age,Salary_mod_Age,Actual_hrs_mod_Age,Effort_mod_Age,Policy_influence_mod_Age,Teaching_percent_mod_Age,Research_percent_mod_Age,Academic_Resources_mod_Age,Perceived_Autonomy_mod_Age,Burnout_mod_Age,Age_centered_mod_Age
0,2.0,-16.947526236881558,3.0,9.613782318331559,50.0,125.0,1.0,10.0,57.99999999999999,3.1666666666666665,1.8333333333333333,4.0,2.2,-16.947526236881558,-33.895052473763116,-162.9298280755921,-847.3763118440779,-2118.4407796101946,-16.947526236881558,-169.47526236881558,-982.9565217391303,-53.667166416791595,-31.070464767616187,-67.79010494752623,287.2186455497888
1,1.0,-11.947526236881558,3.0,4.326923076923077,50.0,125.0,1.0,10.0,60.0,3.0,1.5,4.0,2.4,-11.947526236881558,-11.947526236881558,-51.69602698650674,-597.3763118440779,-1493.4407796101948,-11.947526236881558,-119.47526236881558,-716.8515742128934,-35.84257871064467,-17.921289355322337,-47.79010494752623,142.7433831809732
2,2.0,-5.947526236881558,4.0,9.613782318331559,40.0,100.0,2.0,64.07766990291263,19.41747572815534,4.0,4.5,5.0,2.8,-5.947526236881558,-11.895052473763116,-57.17822257394496,-237.9010494752623,-594.7526236881558,-11.895052473763116,-381.10362294580864,-115.4859463472147,-23.79010494752623,-26.76386806596701,-29.73763118440779,35.3730683383945
3,2.0,-0.9475262368815578,4.0,13.699639803622475,40.0,100.0,5.0,50.0,5.0,3.1666666666666665,3.3333333333333335,3.0,3.6,-0.9475262368815578,-1.8950524737631156,-12.980768149759207,-37.90104947526231,-94.75262368815578,-4.737631184407789,-47.37631184407789,-4.737631184407789,-3.000499750124933,-3.158420789605193,-2.8425787106446734,0.897805969578926
4,2.0,13.052473763118442,4.0,8.652404086498404,20.0,100.0,3.0,33.28733094120894,11.09577698040298,3.1153246121777785,4.166666666666667,2.25,3.6,13.052473763118442,26.104947526236884,112.9352773269192,261.04947526236884,1305.2473763118442,39.15742128935533,434.4820137543704,144.82733791812348,40.66269276404759,54.38530734632685,29.368065967016495,170.36707133689532
5,2.0,-10.947526236881558,4.0,7.210336738748668,40.0,100.0,1.0,0.0,100.0,2.0,1.0,5.0,1.4,-10.947526236881558,-21.895052473763116,-78.93535062420206,-437.9010494752623,-1094.7526236881558,-10.947526236881558,-0.0,-1094.7526236881558,-21.895052473763116,-10.947526236881558,-54.73763118440779,119.84833070721008
6,2.0,-2.947526236881558,4.0,18.025841846871675,40.0,100.0,2.0,20.0,40.0,4.166666666666667,2.6666666666666665,3.75,4.2,-2.947526236881558,-5.895052473763116,-53.13164178553178,-117.90104947526231,-294.7526236881558,-5.895052473763116,-58.950524737631156,-117.90104947526231,-12.281359320339824,-7.8600699650174874,-11.053223388305842,8.687910917105157
7,1.0,-11.947526236881558,4.0,14.420673477497337,40.0,100.0,3.0,33.33333333333333,33.33333333333333,2.1666666666666665,1.5,5.0,2.2,-11.947526236881558,-11.947526236881558,-172.29137472590145,-477.9010494752623,-1194.7526236881558,-35.84257871064467,-398.25087456271854,-398.25087456271854,-25.88630684657671,-17.921289355322337,-59.73763118440779,142.7433831809732
8,1.0,-9.947526236881558,4.0,21.631010216246008,40.0,100.0,1.0,25.0,25.0,3.5,3.8333333333333335,3.5,4.0,-9.947526236881558,-9.947526236881558,-215.17504165636018,-397.9010494752623,-994.7526236881558,-9.947526236881558,-248.68815592203896,-248.68815592203896,-34.81634182908545,-38.132183908045974,-34.81634182908545,98.95327823344697
9,2.0,2.052473763118442,4.0,9.85412687628985,60.0,150.0,1.0,50.0,50.0,2.1666666666666665,2.3333333333333335,4.0,2.6,2.052473763118442,4.104947526236884,20.22533687202521,123.14842578710653,307.87106446776636,2.052473763118442,102.62368815592211,102.62368815592211,4.4470264867566245,4.7891054472763654,8.209895052473769,4.212648548289579
10,1.0,-19.947526236881558,4.0,13.218950687705894,40.0,100.0,4.0,28.947368421052634,55.26315789473685,3.8333333333333335,4.166666666666667,2.0,3.8,-19.947526236881558,-19.947526236881558,-263.68536566705683,-797.9010494752623,-1994.7526236881558,-79.79010494752623,-577.428391067624,-1102.3632920381915,-76.4655172413793,-83.11469265367316,-39.895052473763116,397.9038029710781
11,1.0,-4.947526236881558,4.0,6.96999218079038,40.0,100.0,2.0,48.763709236875066,25.762586447681844,2.5,2.8333333333333335,3.25,2.6,-4.947526236881558,-4.947526236881558,-34.484219185319716,-197.9010494752623,-494.7526236881558,-9.895052473763116,-241.25973085710297,-127.46107237983517,-12.368815592203894,-14.017991004497748,-16.079460269865063,24.478015864631388
12,2.0,-2.947526236881558,5.0,5.192307692307692,40.0,100.0,2.0,25.0,50.0,1.3333333333333333,3.8333333333333335,1.75,1.8,-2.947526236881558,-5.895052473763116,-15.304463153038856,-117.90104947526231,-294.7526236881558,-5.895052473763116,-73.68815592203894,-147.3763118440779,-3.9300349825087437,-11.298850574712638,-5.158170914542726,8.687910917105157
13,1.0,3.052473763118442,5.0,18.506530962788254,55.0,137.5,1.0,29.09090909090909,67.27272727272727,2.3333333333333335,2.3333333333333335,3.5,1.8,3.052473763118442,3.052473763118442,56.49070021025023,167.88605697151434,419.7151424287858,3.052473763118442,88.79923674526377,205.34823497342245,7.122438780609699,7.122438780609699,10.683658170914548,9.317596074526463
14,1.0,3.052473763118442,5.0,15.141707151372207,40.0,100.0,1.0,20.0,80.0,2.8333333333333335,2.6666666666666665,3.0,3.4,3.052473763118442,3.052473763118442,46.21966380838655,122.09895052473769,305.2473763118442,3.052473763118442,61.049475262368844,244.19790104947538,8.64867566216892,8.139930034982513,9.157421289355327,9.317596074526463
15,1.0,10.052473763118442,6.0,21.631010216246008,60.0,150.0,3.0,28.57142857142857,42.857142857142854,3.6666666666666665,3.0,4.75,3.2,10.052473763118442,10.052473763118442,217.44516266855996,603.1484257871066,1507.8710644677662,30.157421289355327,287.21353608909834,430.8203041336475,36.85907046476762,30.157421289355327,47.749250374812604,101.05222875818465
16,1.0,-0.9475262368815578,4.0,13.93998436158076,50.0,125.0,2.0,12.0,40.0,3.1666666666666665,3.3333333333333335,4.5,2.6,-0.9475262368815578,-0.9475262368815578,-13.208500924316382,-47.37631184407789,-118.44077961019472,-1.8950524737631156,-11.370314842578694,-37.90104947526231,-3.000499750124933,-3.158420789605193,-4.26386806596701,0.897805969578926
17,2.0,-14.947526236881558,3.0,11.055849666081293,50.0,125.0,1.0,3.1914893617021276,95.74468085106383,4.0,3.1666666666666665,4.0,3.2,-14.947526236881558,-29.895052473763116,-165.25760295476834,-747.3763118440779,-1868.4407796101948,-14.947526236881558,-47.704870968770926,-1431.146129063128,-59.79010494752623,-47.333833083458266,-59.79010494752623,223.42854060226256
18,2.0,-12.947526236881558,3.0,6.248958506915514,35.0,175.0,1.0,0.0,94.28571428571428,3.1666666666666665,2.8333333333333335,3.5,2.2,-12.947526236881558,-25.895052473763116,-80.90855422147283,-453.1634182908545,-2265.8170914542725,-12.947526236881558,-0.0,-1220.7667594774039,-41.00049975012493,-36.684657671164416,-45.31634182908545,167.63843565473633
19,2.0,-7.947526236881558,4.0,8.53223180751926,50.0,125.0,4.0,64.15094339622641,16.9811320754717,3.3333333333333335,3.5,2.5,3.6,-7.947526236881558,-15.895052473763116,-67.81013614941467,-397.3763118440779,-993.4407796101947,-31.79010494752623,-509.8413057622131,-134.9579927017623,-26.491754122938527,-27.816341829085452,-19.868815592203894,63.163173285920735
20,1.0,25.052473763118442,6.0,12.017227897914449,40.0,100.0,2.0,20.0,50.0,2.9418604651162794,3.1666666666666665,3.0,2.786046511627907,25.052473763118442,25.052473763118442,301.0612866179167,1002.0989505247377,2505.247376311844,50.104947526236884,501.04947526236884,1252.623688155922,73.70088211708101,79.3328335832084,75.15742128935533,627.6264416517379
21,2.0,10.052473763118442,6.0,16.824119057080228,55.0,137.5,5.0,46.15384615384615,30.76923076923077,3.6666666666666665,3.8333333333333335,3.25,4.4,10.052473763118442,20.104947526236884,169.12401540887998,552.8860569715143,1382.2151424287858,50.26236881559221,463.9603275285435,309.306885019029,36.85907046476762,38.5344827586207,32.670539730134934,101.05222875818465
22,1.0,-10.947526236881558,4.0,11.536538781997873,40.0,100.0,3.0,37.5,20.0,3.5,3.6666666666666665,3.25,2.6,-10.947526236881558,-10.947526236881558,-126.29656099872332,-437.9010494752623,-1094.7526236881558,-32.84257871064467,-410.53223388305844,-218.95052473763116,-38.31634182908545,-40.140929535232374,-35.579460269865066,119.84833070721008
23,1.0,22.052473763118442,6.0,14.420673477497337,40.0,100.0,5.0,50.0,25.0,4.166666666666667,4.666666666666667,3.5,4.2,22.052473763118442,22.052473763118442,318.011523509008,882.0989505247377,2205.247376311844,110.26236881559221,1102.623688155922,551.311844077961,91.88530734632685,102.91154422788607,77.18365817091455,486.31159907302725
24,2.0,0.05247376311844221,5.0,13.218950687705894,40.0,100.0,4.0,40.0,40.0,3.8333333333333335,3.8333333333333335,2.75,4.0,0.05247376311844221,0.10494752623688441,0.6936480870610477,2.0989505247376883,5.247376311844221,0.20989505247376883,2.0989505247376883,2.0989505247376883,0.2011494252873618,0.2011494252873618,0.14430284857571607,0.0027534958158103857
25,1.0,5.052473763118442,4.0,14.420673477497337,20.0,100.0,1.0,41.66666666666667,27.77777777777778,2.5,3.1666666666666665,3.0,2.8,5.052473763118442,5.052473763118442,72.86007439155328,101.04947526236884,505.2473763118442,5.052473763118442,210.51974012993512,140.34649341995674,12.631184407796106,15.999500249875066,15.157421289355327,25.527491127000232
26,1.0,-12.947526236881558,4.0,14.420673477497337,70.0,175.0,3.0,21.428571428571427,57.14285714285714,1.5,3.5,5.0,2.2,-12.947526236881558,-12.947526236881558,-186.71204820339878,-906.326836581709,-2265.8170914542725,-38.84257871064467,-277.4469907903191,-739.8586421075175,-19.421289355322337,-45.31634182908545,-64.73763118440779,167.63843565473633
27,1.0,-8.947526236881558,4.0,9.373437760373271,50.0,125.0,3.0,60.0,20.0,3.5,3.5,3.75,2.6,-8.947526236881558,-8.947526236881558,-83.86908029071616,-447.3763118440779,-1118.4407796101948,-26.842578710644673,-536.8515742128934,-178.95052473763116,-31.316341829085452,-31.316341829085452,-33.55322338830584,80.05822575968385
28,1.0,-0.9475262368815578,4.0,8.652404086498404,40.0,100.0,1.0,45.0,50.0,2.5,2.3333333333333335,4.0,1.6,-0.9475262368815578,-0.9475262368815578,-8.198379884058445,-37.90104947526231,-94.75262368815578,-0.9475262368815578,-42.6386806596701,-47.37631184407789,-2.3688155922038945,-2.210894552723635,-3.790104947526231,0.897805969578926
